tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Amendes et confiscations,Fines and confiscations,Eurostat national-tax-list line classified as ESA code D2121. Economic function: consumption.,40000000,0.001370,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D2121; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres prélèvements sociaux,Other social levies,Eurostat national-tax-list line classified as ESA code D51M. Economic function: household capital income.,14646000000,0.501593,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D51M; DETAILS C06; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D2122C. Economic function: consumption.,9000000,0.000308,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D2122C; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D214A. Economic function: consumption.,44000000,0.001507,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214A; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D214E. Economic function: consumption.,5000000,0.000171,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214E; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D214H. Economic function: consumption.,1144000000,0.039179,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214H; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D214L. Economic function: consumption.,182000000,0.006233,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214L; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D29A. Economic function: capital/stock of wealth. Environmental/property tag: recurrent immovable property.,890000000,0.030480,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29A; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D29B. Economic function: capital/stock of wealth.,167000000,0.005719,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29B; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D29C. Economic function: employer labour.,1364000000,0.046714,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29C; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D29E. Economic function: capital/stock of wealth.,168000000,0.005754,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29E; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D29H. Economic function: capital/stock of wealth.,295000000,0.010103,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29H; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D51M. Economic function: SPLIT1.,1127000000,0.038597,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D51M; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D51O. Economic function: corporate capital income.,13387000000,0.458475,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D51O; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D59A. Economic function: capital/stock of wealth. Environmental/property tag: other property.,651000000,0.022295,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D59A; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D59F. Economic function: capital/stock of wealth.,248000000,0.008493,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D59F; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes,Other taxes,Eurostat national-tax-list line classified as ESA code D91B. Economic function: capital/stock of wealth. Environmental/property tag: other property.,458000000,0.015685,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D91B; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes sur l'énergie,Other taxes on energy,Eurostat national-tax-list line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: energy.,622000000,0.021302,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214A; DETAILS C04; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes sur la pollution,Other taxes on pollution,Eurostat national-tax-list line classified as ESA code D214A. Economic function: consumption. Environmental/property tag: pollution.,1011000000,0.034624,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214A; DETAILS C03; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes sur la pollution,Other taxes on pollution,Eurostat national-tax-list line classified as ESA code D214H. Economic function: consumption. Environmental/property tag: pollution.,1095000000,0.037501,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D214H; DETAILS C02; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes sur la pollution,Other taxes on pollution,Eurostat national-tax-list line classified as ESA code D29F. Economic function: consumption. Environmental/property tag: pollution.,320000000,0.010959,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29F; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Autres taxes sur le revenu,Other taxes on income,Eurostat national-tax-list line classified as ESA code D51E. Economic function: household capital income.,144000000,0.004932,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D51E; DETAILS C01; 2024","Eurostat grouped 'other taxes' line; likely contains multiple legal taxes and may overlap with more specific Cour des comptes low-yield entries. Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
Certificats sanitaires et phytosanitaires,Low-yield service-related levy on production paid by businesses,Low-yield service-related levy on production paid by businesses. Collector: DGDDI / Direction Générale de l'Alimentation (DGAL). Beneficiary: Etablissement national des produits de l’agriculture et de la mer (FranceAgriMer).,840000,0.000029,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 3; Enjeu 2024","Cour low-yield-tax inventory id 3. Status: En vigueur entre 2019 et 2024. Objective: Service rendu; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 0.899m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
Chambre d'agriculture,Tax benefitting to the Chamber of Agriculture,Eurostat national-tax-list line classified as ESA code D29A. Economic function: capital/stock of wealth.,227000000,0.007774,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/france_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; FR sheet; STO D29A; DETAILS C17; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes are in scope."
"Contribution additionnelle aux primes ou cotisations d'assurance afférentes aux conventions d'assurance couvrant à titre exclusif ou principal les dommages aux sols, récoltes, cultures, bâtiments, et au cheptel mort ou vif affectés aux exploitations agricoles",Low-yield market-failure correction levy on consumption paid by businesses,Low-yield market-failure correction levy on consumption paid by businesses. Collector: DGFiP. Beneficiary: Fonds national de garantie des risques agricoles (FNGRA) / Fonds de calamités agricoles dans les départements d'outre-mer.,77675169,0.002660,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 7; Enjeu 2019 uprated to 2024 using INSEE CPI",Cour low-yield-tax inventory id 7. Status: En vigueur entre 2019 et 2024. Objective: Correction défaillance marché; payer: Entreprises; base: Consommation. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 67.582m. No Cour Enjeu 2024 figure; revenue is an estimate from Cour Enjeu 2019 uprated to 2024 using INSEE annual-average CPI inflation for 2020-2024. CPI uprating factor used: 1.149347008.
Contribution additionnelle aux prélèvements sociaux sur les produits de placement,Low-yield budget-raising levy on capital paid by individuals,Low-yield budget-raising levy on capital paid by individuals. Collector: DGFiP. Beneficiary: Organismes de sécurité sociale.,,,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 6; Enjeu 2024",Cour low-yield-tax inventory id 6. Status: En vigueur entre 2019 et 2024. Objective: Rendement; payer: Particuliers; base: Capital. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. No known or estimated 2024 yield in the Cour annex; cannot be area-sized without an estimate.
Contribution annuelle acquittée par les personnes inscrites comme commissaires aux comptes et droit fixe sur chaque certification,Low-yield market-failure correction levy on production paid by businesses,Low-yield market-failure correction levy on production paid by businesses. Collector: Compagnie nationale des commissaires aux comptes. Beneficiary: Haut conseil du commissariat aux comptes (H3C).,17079000,0.000585,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 8; Enjeu 2024","Cour low-yield-tax inventory id 8. Status: En vigueur entre 2019 et 2024. Objective: Correction défaillance marché; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 14.757m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
Contribution annuelle au profit de l'Institut de radioprotection et de sûreté nucléaire,Low-yield market-failure correction levy on production paid by businesses,Low-yield market-failure correction levy on production paid by businesses. Collector: Institut de radioprotection et de sûreté nucléaire (IRSN). Beneficiary: Institut de radioprotection et de sûreté nucléaire (IRSN).,60507750,0.002072,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 9; Enjeu 2024","Cour low-yield-tax inventory id 9. Status: En vigueur entre 2019 et 2024. Objective: Correction défaillance marché; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 62.758m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
Contribution annuelle sur les premières ventes de médicaments et produits de santé ayant bénéficié d'une autorisation de mise sur le marché (ex-Taxe annuelle sur les premières ventes de médicaments et produits de santé ayant bénéficié d'une autorisation de mise sur le marché),Low-yield budget-raising levy on production paid by businesses,Low-yield budget-raising levy on production paid by businesses. Collector: Agence nationale de sécurité du médicament et des produits de santé (ANSM). Beneficiary: Caisse nationale d'assurance-maladie (CNAM).,3448041,0.000118,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 202; Enjeu 2019 uprated to 2024 using INSEE CPI",Cour low-yield-tax inventory id 202. Status: En vigueur entre 2019 et 2024. Objective: Rendement; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 3m. No Cour Enjeu 2024 figure; revenue is an estimate from Cour Enjeu 2019 uprated to 2024 using INSEE annual-average CPI inflation for 2020-2024. CPI uprating factor used: 1.149347008.
"Contribution au fonds de garantie des dommages consécutifs à des actes de prévention, de diagnostic ou de soins dispensés par des professionnels de santé",Low-yield market-failure correction levy on production paid by businesses,"Low-yield market-failure correction levy on production paid by businesses. Collector: Caisse centrale de réassurance (CCR). Beneficiary: Fonds de garantie des dommages consécutifs à des actes de prévention, de diagnostic ou de soins (FADPS).",8700000,0.000298,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 11; Enjeu 2024","Cour low-yield-tax inventory id 11. Status: En vigueur entre 2019 et 2024. Objective: Correction défaillance marché; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
Contribution au fonds d’assurance formation des chefs d’entreprise inscrite au répertoire des métiers,Low-yield market-failure correction levy on production paid by businesses,Low-yield market-failure correction levy on production paid by businesses. Collector: URSSAF. Beneficiary: Fonds d'assurance formation (FAF) des professions concernées.,93045300,0.003187,"Cour des comptes, Les taxes a faible rendement, annex listing, Apr 2025; file: code/data/france_tax/20250417-annexe-listing-des-taxes-concernees.xlsx; Cour Inventaire sheet id 10; Enjeu 2024","Cour low-yield-tax inventory id 10. Status: En vigueur entre 2019 et 2024. Objective: Correction défaillance marché; payer: Entreprises; base: Production. The Cour annex is an individual-tax inventory and may overlap with Eurostat grouped/aggregate NTL rows; do not sum both sources without reconciliation. English name is a descriptive label generated from the Cour structured fields; the Cour annex does not provide an official English legal title. Cour Enjeu 2019: EUR 32.507m. Revenue is the Cour 'enjeu 2024' figure, in EUR after conversion from EUR millions."
