tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes,chart_label_en,layer_1,layer_2,layer_3,layer_4,classification_notes,display_explanation,chart_include,chart_revenue_eur,chart_revenue_pct_gdp,netted_adjustments_eur,netting_notes
Alkoholsteuer / Branntweinabgaben / einschl. Alcopops ab 3. Quartal 2004,Alcohol duty,Excise duty on spirits and other alcohol.,1993000000,0.046292,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C04; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for Alkoholsteuer (bis 2017 Branntweinsteuer): EUR 1,979,628,975.",Alcohol duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,Alkoholsteuer (bis 2017 Branntweinsteuer),Eurostat groups these alcohol taxes; BMF 2024 cash receipts are used to split the Eurostat control total.,Excise duty on spirits and other alcohol.,yes,1966332145,0.045672,0,
Kaffeesteuer,Coffee duty,Excise duty on coffee.,996000000,0.023134,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C05; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Coffee duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,,German-specific product duty.,Excise duty on coffee.,yes,996000000,0.023134,0,
Biersteuer,Beer duty,Excise duty on beer.,562000000,0.013054,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C11; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Beer duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,,Direct UK equivalent: beer duty.,Excise duty on beer.,yes,562000000,0.013054,0,
Schaumweinsteuer,Sparkling wine duty,Excise duty on sparkling wine.,371000000,0.008617,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C09; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Sparkling wine duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,,Alcohol duty.,Excise duty on sparkling wine.,yes,371000000,0.008617,0,
Alkoholsteuer / Branntweinabgaben / einschl. Alcopops ab 3. Quartal 2004,Intermediate alcohol duty,Excise duty on intermediate alcoholic products.,1993000000,0.046292,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C04; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for Zwischenerzeugnissteuer: EUR 25,466,188.",Intermediate alcohol,Goods/services,"Alcohol, tobacco and drinks",Excise duties,Zwischenerzeugnissteuer,Eurostat groups these alcohol taxes; BMF 2024 cash receipts are used to split the Eurostat control total.,Excise duty on intermediate alcoholic products.,yes,25295136,0.000588,0,
Alkoholsteuer / Branntweinabgaben / einschl. Alcopops ab 3. Quartal 2004,Alcopop duty,Excise duty on alcopop drinks.,1993000000,0.046292,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C04; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for Alkopopsteuer: EUR 1,382,002.",Alcopop duty,Goods/services,"Alcohol, tobacco and drinks",Excise duties,Alkopopsteuer,Eurostat groups these alcohol taxes; BMF 2024 cash receipts are used to split the Eurostat control total.,Excise duty on alcopop drinks.,yes,1372719,0.000032,0,
Rennwett-Lotteriesteuer,Betting and lottery tax,Tax on betting and lottery activities.,2485000000,0.057720,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214F; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Betting/lottery tax,Goods/services,"Betting, gaming and entertainment",Betting and lottery taxes,,Direct UK equivalent: betting and lottery duties.,Tax on betting and lottery activities.,yes,2485000000,0.057720,0,
Spielbankabgabe,Casino levy,Tax or levy on casino gaming.,596000000,0.013843,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214F; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Casino levy,Goods/services,"Betting, gaming and entertainment",Casino taxes,,Gaming levy.,Tax or levy on casino gaming.,yes,596000000,0.013843,0,
Sonstige Vergnügungsteuer,Entertainment tax,Local tax on entertainment activities.,900000000,0.020904,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214E; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Entertainment tax,Goods/services,"Betting, gaming and entertainment",Entertainment taxes,,Local consumption tax on entertainment.,Local tax on entertainment activities.,yes,900000000,0.020904,0,
Mineralölsteuer / Energiesteuer ab 2006,Energy tax,Excise duty on fuel and other energy products.,36579000000,0.849627,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Energy tax,Goods/services,Energy and fuel duties,Energy/fuel consumption duties,,UK-equivalent treatment: energy/fuel consumption duties sit with goods/services.,Excise duty on fuel and other energy products.,yes,36579000000,0.849627,0,
Stromsteuer,Electricity tax,Tax on electricity consumption.,5671000000,0.131721,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Electricity tax,Goods/services,Energy and fuel duties,Energy/fuel consumption duties,,UK-equivalent treatment: energy/fuel consumption duties sit with goods/services.,Tax on electricity consumption.,yes,5671000000,0.131721,0,
Beitrag zum Erdölbevorratungsverband,Oil stockpiling levy,Levy used to fund strategic oil stocks.,256000000,0.005946,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214I; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Oil stockpiling levy,Goods/services,Energy and fuel duties,Strategic stock levies,,Energy-security levy.,Levy used to fund strategic oil stocks.,yes,256000000,0.005946,0,
Zölle,Customs duties,Customs duties on imports.,5582000000,0.129654,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D2121; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Customs duties,Goods/services,Import duties,Customs duties,,Direct UK equivalent: customs duties.,Customs duties on imports.,yes,5582000000,0.129654,0,
Verbrauchsteuern auf Einfuhren,Import excise duties,Excise duties on imported goods.,28749000000,0.667758,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D2122C; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Import excise duties,Goods/services,Import duties,Import excise duties,,Import-related excise duty.,Excise duties on imported goods.,yes,28749000000,0.667758,0,
sonstige Verbrauchsteuern,Flat-rate import charge,Flat-rate import charge.,3000000,0.000070,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C12; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for Pauschalierte Einfuhrabgabe: EUR 2,161,451.",Flat-rate import charge,Goods/services,Import duties,Other import charges,Pauschalierte Einfuhrabgabe,Eurostat groups these very small taxes; BMF 2024 cash receipts are used to split the Eurostat control total.,Flat-rate import charge.,yes,2994586,0.000070,0,
Versicherungsteuer,Insurance tax,Tax on insurance premiums or contracts.,18318000000,0.425476,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214G; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Insurance tax,Goods/services,Insurance taxes,Insurance-premium taxes,,Direct UK equivalent: insurance premium tax.,Tax on insurance premiums or contracts.,yes,18318000000,0.425476,0,
Feuerschutzsteuer,Fire protection tax,Tax on fire insurance used to fund fire protection.,724000000,0.016816,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214G; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Fire protection tax,Goods/services,Insurance taxes,Insurance-premium taxes,,Insurance-related tax.,Tax on fire insurance used to fund fire protection.,yes,724000000,0.016816,0,
Luftverkehrsteuer,Air travel tax,Tax on departing airline passengers.,1877000000,0.043597,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214H; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Air travel tax,Goods/services,Transport and vehicle taxes,Transport taxes,,Direct UK equivalent: air passenger duty.,Tax on departing airline passengers.,yes,1877000000,0.043597,0,
Kfz-Steuer von Unternehmen; Kraftfahrzeugsteuer von privaten Haushalten,Motor vehicle tax,Tax on owning or using motor vehicles.,9668000000,0.224560,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29B; DETAILS C01; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Motor vehicle tax,Goods/services,Transport and vehicle taxes,Vehicle taxes,,Direct UK equivalent: vehicle excise duty-style tax.,Tax on owning or using motor vehicles.,yes,9668000000,0.224560,0,
Umsatzsteuer (abzüglich Unterkompensation); Einfuhrumsatzsteuer; Unterkompensation Umsatzsteuer,Value added tax,"Germany's value added tax, including import VAT and the national-accounts VAT adjustment.",299084000000,6.946879,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D211; DETAILS C01; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D211; DETAILS C02; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29G; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",VAT,Goods/services,VAT,VAT,,Direct UK equivalent: VAT. The Eurostat control includes import VAT and a VAT under-compensation adjustment.,"Germany's value added tax, including import VAT and the national-accounts VAT adjustment.",yes,299084000000,6.946879,0,
Übrige Produktionsabgaben,Other production levies,Other small taxes on production.,27000000,0.000627,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29H; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Other production levies,Business,Business production taxes,Other production levies,,Business production tax.,Other small taxes on production.,yes,27000000,0.000627,0,
Beitrag zum Einlagensicherungsfond,Deposit protection levy,Banking-sector levy for deposit protection.,1158000000,0.026897,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29H; DETAILS C04; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Deposit protection levy,Business,Financial-sector levies,Bank levies,,Financial-sector levy.,Banking-sector levy for deposit protection.,yes,1158000000,0.026897,0,
Bankenabgabe,Bank levy,Levy on banks.,51000000,0.001185,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29H; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Bank levy,Business,Financial-sector levies,Bank levies,,Direct UK equivalent: bank levy.,Levy on banks.,yes,51000000,0.001185,0,
Körperschaftsteuer,Corporation tax,Tax on company profits.,42693000000,0.991638,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Corporation tax,Business,Profit and sector taxes,Corporation tax,,Direct UK equivalent: corporation tax.,Tax on company profits.,yes,40483731645,0.940323,-2209268355,BMF cash receipts identify this amount as the solidarity surcharge on corporation tax; it is shown separately.
Gewerbesteuer PHH; Gewerbesteuer KG,Trade tax,Local business tax on business profits.,75261000000,1.748101,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C04; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Trade tax,Business,Profit and sector taxes,Local business profit taxes,,Local business tax on profits.,Local business tax on business profits.,yes,75261000000,1.748101,0,
EU-Energiekrisenbeitrag,EU energy crisis contribution,Temporary levy on energy-sector windfall profits.,1936000000,0.044968,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C05; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Energy crisis levy,Business,Profit and sector taxes,Windfall and crisis levies,,Temporary sectoral profit levy.,Temporary levy on energy-sector windfall profits.,yes,1936000000,0.044968,0,
Grunderwerbsteuer,Property transfer tax,Tax on purchases of land and buildings.,12750000000,0.296147,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214B; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Property transfer tax,Land,Property transaction taxes,Property transfer taxes,,Direct UK equivalent: stamp duty on property transactions.,Tax on purchases of land and buildings.,yes,12750000000,0.296147,0,
Grundsteuer A,Property tax (agricultural),Local recurrent tax on agricultural land.,426000000,0.009895,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29A; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Grundsteuer A,Land,Recurrent land and property taxes,Property taxes,,Recurrent local tax on agricultural land (Land- und Forstwirtschaft).,Local recurrent tax on agricultural land.,yes,426000000,0.009895,0,
Grundsteuer B,Property tax (other),Local recurrent tax on non-agricultural land and buildings.,15796000000,0.366897,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29A; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Grundsteuer B,Land,Recurrent land and property taxes,Property taxes,,Recurrent local tax on other land and buildings (the bulk of German recurrent property tax).,Local recurrent tax on non-agricultural land and buildings (the bulk of recurrent property tax).,yes,15796000000,0.366897,0,
Steuern auf Umbewertungsgewinne,Taxes on holding gains,Taxes on holding gains or revaluation gains recorded in the national accounts.,19028000000,0.441967,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51C1; DETAILS C01; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51C2; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Holding gains taxes,Wealth,Financial capital taxes,Holding gains taxes,,National-accounts tax line on holding or revaluation gains.,Taxes on holding gains or revaluation gains recorded in the national accounts.,yes,19028000000,0.441967,0,
Kapitalertragsteuer und Zinsabschlag,Investment income withholding tax,Withholding tax on investment income not assessed through tax returns.,53313000000,1.238311,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C03; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C02; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for nicht veranlagte Steuern vom Ertrag: EUR 34,022,775,194.",Investment withholding,Wealth,Financial capital taxes,Investment income taxes,nicht veranlagte Steuern vom Ertrag,Eurostat gives sectoral capital-income-tax rows; BMF 2024 cash receipts are used to split them into statutory tax names.,Withholding tax on investment income not assessed through tax returns.,yes,32199619669,0.747907,-1837926766,BMF cash receipts identify this amount as the solidarity surcharge on capital-income taxes; it is shown separately.
Kapitalertragsteuer und Zinsabschlag,Final withholding tax on interest and capital gains,Flat withholding tax on interest and capital gains.,53313000000,1.238311,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C03; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C02; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for Abgeltungsteuer auf Zins- und Veräußerungserträge: EUR 19,267,088,615.",Final withholding tax,Wealth,Financial capital taxes,Investment income taxes,Abgeltungsteuer auf Zins- und Veräußerungserträge,Eurostat gives sectoral capital-income-tax rows; BMF 2024 cash receipts are used to split them into statutory tax names.,Flat withholding tax on interest and capital gains.,yes,18234636123,0.423539,-1040817442,BMF cash receipts identify this amount as the solidarity surcharge on capital-income taxes; it is shown separately.
