tax_name,group,revenue_eur,source_for_data,is_total_or_memo,notes
Kernbrennstoffsteuer,Bundessteuern,0,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Kaffeesteuer,Bundessteuern,992298800,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Luftverkehrsteuer,Bundessteuern,1832551053,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
EU-Energiekrisenbeitrag,Bundessteuern,1936160166,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Schaumweinsteuer,Bundessteuern,351968472,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Zwischenerzeugnissteuer,Bundessteuern,25466188,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Alkopopsteuer,Bundessteuern,1382002,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Pauschalierte Einfuhrabgabe,Bundessteuern,2161451,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
sonstige Bundessteuern,Bundessteuern,3908,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Bundessteuern insgesamt,Bundessteuern,103535928496,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Grunderwerbsteuer,Ländersteuern,12749700493,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Erbschaftsteuer,Ländersteuern,9990395702,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Rennwett- und Lotteriesteuer,Ländersteuern,2485623131,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Biersteuer,Ländersteuern,558336706,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Feuerschutzsteuer,Ländersteuern,724491291,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Vermögensteuer,Ländersteuern,-11178,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
sonstige Ländersteuern,Ländersteuern,8060,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Ländersteuern insgesamt,Ländersteuern,26508544206,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Zölle,Zölle,5463167994,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Steuern insgesamt ohne Gemeindesteuern,Zölle,861110780499,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 1 Steuerarten; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Gewerbesteuer (100 vH),Gemeindesteuern Stadtstaaten,7044155099,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Grundsteuer,Gemeindesteuern Stadtstaaten,1583608682,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
sonstige Gemeindesteuern,Gemeindesteuern Stadtstaaten,229325661,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Gemeindesteuern Stadtstaaten insgesamt,Gemeindesteuern Stadtstaaten,8857089443,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
"Sonstiges (Benzin, Diesel etc.)",Energiesteuer auf,32145802587,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Erdgas,Energiesteuer auf,2060229619,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
"andere Heizstoffe als Erdgas (Heizöl, Kohle etc.)",Energiesteuer auf,888523952,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Energiesteuer insgesamt,Energiesteuer auf,35094556158,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Lohnsteuer,Solidaritätszuschlag zur,4096694929,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Minijobs,Solidaritätszuschlag zur,30250370,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
veranlagte Einkommensteuer,Solidaritätszuschlag zur,3449586680,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
nicht veranlagte Steuern vom Ertrag,Solidaritätszuschlag zur,1820008856,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Körperschaftsteuer,Solidaritätszuschlag zur,2209268355,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Abgeltungsteuer auf Zins- und Veräuß.ertr.,Solidaritätszuschlag zur,1058735351,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Solidaritätszuschlag insgesamt,Solidaritätszuschlag zur,12634294172,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Lohnsteuer brutto,Solidaritätszuschlag zur,304696334515,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Kindergeld insgesamt,Solidaritätszuschlag zur,54017612242,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",yes,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Kindergeld Arbeitgeber,Solidaritätszuschlag zur,1334558,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Kindergeld Familienkassen,Solidaritätszuschlag zur,54016277683,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Altersvorsorgezulage,Solidaritätszuschlag zur,1758325094,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Lohnsteuer,Solidaritätszuschlag zur,248920397180,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
veranlagte Einkommensteuer brutto,Solidaritätszuschlag zur,86453018118,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Erstattungen durch das BZSt,Solidaritätszuschlag zur,0,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Forschungszulage,Solidaritätszuschlag zur,49460682,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Investitionszulage,Solidaritätszuschlag zur,-428560,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Eigenheimzulage,Solidaritätszuschlag zur,293350,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
Erstattungen an veranlagte Arbeitnehmer (§ 46 EStG),Solidaritätszuschlag zur,11558895258,"Bundesministerium der Finanzen, Steuereinnahmen im 4. Quartal und Kalenderjahr 2024; file: code/data/germany_tax/bmf_steuereinnahmen_2024_calendar_year.xlsx; sheet: 3u4 weitere Angaben; annual 2024 column; source values in thousand euros",no,BMF cash tax revenue table. Main sheet excludes municipal taxes; sheet 3 includes memo rows for city-state municipal taxes and energy-tax sub-splits.
