year_label	date	pct_gdp	measure	source	confidence	note
1734-35	1734-07-01	6.543369	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1735-36	1735-07-01	6.641951	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1736-37	1736-07-01	6.677071	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1737-38	1737-07-01	7.003579	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1738-39	1738-07-01	6.832184	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1739-40	1739-07-01	6.746165	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1740-41	1740-07-01	6.617216	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1741-42	1741-07-01	6.777103	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1742-43	1742-07-01	7.016029	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1743-44	1743-07-01	7.335549	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1744-45	1744-07-01	7.409727	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1745-46	1745-07-01	7.177101	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1746-47	1746-07-01	7.096478	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1747-48	1747-07-01	7.425037	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1748-49	1748-07-01	7.647612	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1749-50	1749-07-01	7.740057	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1750-51	1750-07-01	7.506379	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1751-52	1751-07-01	7.215136	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1752-53	1752-07-01	6.959567	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1753-54	1753-07-01	6.986734	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1754-55	1754-07-01	6.958179	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1755-56	1755-07-01	6.934184	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1756-57	1756-07-01	7.055205	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1757-58	1757-07-01	6.844145	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1758-59	1758-07-01	6.984515	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1759-60	1759-07-01	7.772497	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1760-61	1760-07-01	8.168083	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1761-62	1761-07-01	8.185525	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1762-63	1762-07-01	8.219640	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1763-64	1763-07-01	8.216440	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1764-65	1764-07-01	8.616039	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1765-66	1765-07-01	8.571673	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1766-67	1766-07-01	7.924843	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1767-68	1767-07-01	7.696696	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1768-69	1768-07-01	8.300546	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1769-70	1769-07-01	8.722873	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1770-71	1770-07-01	8.661864	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1771-72	1771-07-01	8.129748	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1772-73	1772-07-01	7.875164	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1773-74	1773-07-01	7.625786	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1774-75	1774-07-01	7.804314	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1775-76	1775-07-01	7.549356	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1776-77	1776-07-01	7.369496	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1777-78	1777-07-01	7.363649	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1778-79	1778-07-01	7.703353	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1779-80	1779-07-01	8.183349	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1780-81	1780-07-01	8.092633	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1781-82	1781-07-01	7.643359	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1782-83	1782-07-01	7.550975	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1783-84	1783-07-01	7.599755	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1784-85	1784-07-01	8.672417	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1785-86	1785-07-01	9.139223	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1786-87	1786-07-01	8.968151	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1787-88	1787-07-01	9.646077	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1788-89	1788-07-01	9.954074	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1789-90	1789-07-01	9.720647	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1790-91	1790-07-01	9.510980	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1791-92	1791-07-01	9.626957	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1792-93	1792-07-01	8.932626	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1793-94	1793-07-01	9.197304	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1794-95	1794-07-01	9.093873	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1795-96	1795-07-01	7.911715	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1796-97	1796-07-01	8.100872	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1797-98	1797-07-01	9.456159	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1798-99	1798-07-01	10.760627	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1799-00	1799-07-01	8.377141	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1800-01	1800-07-01	9.430771	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1801-02	1801-07-01	9.933841	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1802-03	1802-07-01	11.564806	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1803-04	1803-07-01	12.273828	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1804-05	1804-07-01	13.303139	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1805-06	1805-07-01	13.622310	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1806-07	1806-07-01	14.436440	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1807-08	1807-07-01	14.817251	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1808-09	1808-07-01	15.356566	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1809-10	1809-07-01	14.410609	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1810-11	1810-07-01	14.035529	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1811-12	1811-07-01	14.088915	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1812-13	1812-07-01	13.772631	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1813-14	1813-07-01	13.963659	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1814-15	1814-07-01	14.823587	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1815-16	1815-07-01	14.582413	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1816-17	1816-07-01	13.616521	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1817-18	1817-07-01	11.501693	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1818-19	1818-07-01	11.571899	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1819-20	1819-07-01	11.982993	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1820-21	1820-07-01	12.333621	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1821-22	1821-07-01	13.038928	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1822-23	1822-07-01	13.007316	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1823-24	1823-07-01	12.231208	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1824-25	1824-07-01	11.413599	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1825-26	1825-07-01	10.567487	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1826-27	1826-07-01	11.111285	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1827-28	1827-07-01	10.819258	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1828-29	1828-07-01	11.114611	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1829-30	1829-07-01	11.060693	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1830-31	1830-07-01	10.509326	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1831-32	1831-07-01	10.086399	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1832-33	1832-07-01	10.177756	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1833-34	1833-07-01	10.081925	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1834-35	1834-07-01	9.576229	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1835-36	1835-07-01	9.108079	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1836-37	1836-07-01	8.907959	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1837-38	1837-07-01	8.737436	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1838-39	1838-07-01	8.499315	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1839-40	1839-07-01	8.400309	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1840-41	1840-07-01	8.692135	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1841-42	1841-07-01	9.002515	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1842-43	1842-07-01	9.447558	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1843-44	1843-07-01	10.035936	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1844-45	1844-07-01	9.525196	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1845-46	1845-07-01	8.991269	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1846-47	1846-07-01	8.788675	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1847-48	1847-07-01	8.431428	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1848-49	1848-07-01	8.853564	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1849-50	1849-07-01	8.813371	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1850-51	1850-07-01	9.254196	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1851-52	1851-07-01	8.927535	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1852-53	1852-07-01	8.604338	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1853-54	1853-07-01	7.744422	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1854-55	1854-07-01	7.959763	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1855-56	1855-07-01	8.725230	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1856-57	1856-07-01	8.726036	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1857-58	1857-07-01	8.241637	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1858-59	1858-07-01	8.055735	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1859-60	1859-07-01	8.309873	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1860-61	1860-07-01	8.062740	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1861-62	1861-07-01	7.761908	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1862-63	1862-07-01	7.566110	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1863-64	1863-07-01	7.006716	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1864-65	1864-07-01	6.760159	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1865-66	1865-07-01	6.376982	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1866-67	1866-07-01	6.400112	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1867-68	1867-07-01	6.418775	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1868-69	1868-07-01	6.617433	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1869-70	1869-07-01	6.663694	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1870-71	1870-07-01	5.776486	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1871-72	1871-07-01	5.800903	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1872-73	1872-07-01	5.630730	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1873-74	1873-07-01	5.511357	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1874-75	1874-07-01	5.413163	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1875-76	1875-07-01	5.661162	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1876-77	1876-07-01	5.830777	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1877-78	1877-07-01	5.978539	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1878-79	1878-07-01	6.399251	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1879-80	1879-07-01	5.846934	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1880-81	1880-07-01	6.201498	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1881-82	1881-07-01	6.246985	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
1882-83	1882-07-01	6.354522	Central government receipts	OBR historical public finances database	medium	Used for 1700-1899 because the OBR workbook has no public-sector or National Accounts taxes total for these years.
