tax_id	episode	tax_name	parent_tax	category	jurisdiction	start_year	start_date	end_year	end_date	episode_status	date_confidence	source_id	source_locator	source_quote	notes
alien_poll_tax	2	Poll tax on aliens		personal tax	England	1442		1442		ended	medium	dowell_v3	Book I ch. I	One such poll was imposed in 1439; another, in 1442.	
alien_poll_tax	3	Annual poll tax on aliens		personal tax	England	1453		1461		ended	low	dowell_v3	Book I ch. I	In 1453 an annual tax of this description was granted, for life, to king Henry VI.	End set to death/deposition year; verify.
land_income_tax_1404	1	Land tax on large landowners		land/property	England	1404		1404		ended	medium	dowell_v1	Contents, ch. I	New land tax of 5 per cent. on large landowners in 1404.	
land_income_tax_1411	1	Land tax		land/property	England	1411		1411		ended	medium	dowell_v1	Contents, ch. I	A similar tax, at ... per cent on a wider basis, in 1411.	
householder_land_tax_1428	1	Householder and land tax		direct tax	England	1428		1428		ended	medium	dowell_v1	Contents, ch. I	Novel tax on inhabitant householders... combined with a land tax on the fee in 1428.	
income_from_land_tax_1435	1	Graduated tax on income from land/rents/offices		income/property	England	1435		1435		ended	medium	dowell_v1	Contents, ch. I	Grant... in 1435, and, in supplement, a graduated tax on income from lands, rents, and annuities and offices	
income_from_land_tax_1450	2	Graduated tax on income from land/rents/offices		income/property	England	1450		1450		ended	medium	dowell_v1	Contents, ch. I	Grant, in 1450, of another graduated tax on income from lands, rents, annuities, and offices and fees.	
archers_income_tax	1	Tax for archers / income tax		income tax	England	1472		1472		ended	medium	dowell_v1	Contents, ch. I	Grant, in 1472, of 13,000 archers... and an income tax of 10 per cent. for their pay. Failure of the tax.	
alien_poll_tax	4	Increased poll on aliens		personal tax	England	1482		1482		ended	medium	dowell_v1	Contents, ch. I	In 1482, a fifteenth and tenth granted, together with an increased poll upon aliens	
benevolences	1	Benevolences		exaction	England	1470		1628		ended	low	dowell_v1	Contents, ch. III	Suppression of forced loans and benevolences by the Petition of Right	Several episodes; needs splitting.
subsidy	1	Subsidy		direct tax	England	1513		1641		ended	low	dowell_v1	Contents, ch. I	Grant of a subsidy. Practice of granting fifteenths and tenths and a subsidy together.	Needs episodic splitting. Includes the 1547/1548 sheep-and-cloth charge as a subsidy component; not counted separately.
poll_tax_general	4	Poll tax		personal tax	England	1513		1513		ended	high	dowell_v3	Book I ch. I	A general poll tax, imposed in 1513, 4 Henry VIII	
first_fruits_tenths	1	First-fruits and tenths		ecclesiastical tax	England	1534		1926		ended	medium	legislation_first_fruits_measure_1926	First Fruits and Tenths Measure 1926	"""all first fruits and tenths... shall be extinguished"""	Still requires historical start-statute verification beyond Dowell; end from Church Assembly Measure.
customs	1	Customs duties at ports		customs	England	1275				chart_split_only	low	dowell_v1	Contents, ch. IX	Origin of the customs... the antiqua custuma of 1275 are recognised.	Broad customs-regime umbrella retained for context only; not counted while commodity customs heads are counted separately.
tunnage_poundage	1	Tunnage and poundage		customs	England/Great Britain	1302		1787	1787-05-10	ended	medium	legislation_customs_excise_act_1787	Section 1	"""from and after the tenth Day of May one thousand seven hundred and eighty-seven... Duties whatever... shall cease and determine"""	Approximate conceptual endpoint: swept into Pitt's customs consolidation from 10 May 1787.
wool_customs	1	Customs on wool, woolfells and leather		customs	England/Great Britain	1275		1787	1787-05-10	ended	medium	legislation_customs_excise_act_1787	Section 1	"""from and after the tenth Day of May one thousand seven hundred and eighty-seven... Duties whatever... shall cease and determine"""	Approximate conceptual endpoint: old wool customs lineage swept into Pitt's customs consolidation from 10 May 1787.
poor_rate	1	Poor rate		local/property tax	England and Wales	1601		1927		ended	medium	poor_relief_act_1601_vlex	43 Elizabeth I c.2; Rating and Valuation Act 1925, s.1	"""taxation of every inhabitant... every occupier of lands, houses"""	Statutory Elizabethan poor-rate lineage; later folded into the general rate under 1925 reforms. Exact appointed-day treatment needs later checking.
tobacco_impost	1	Impost on tobacco		customs/excise	England/Great Britain	1604		1787	1787-05-10	ended	medium	legislation_customs_excise_act_1787	Section 1	"""from and after the tenth Day of May one thousand seven hundred and eighty-seven... Duties whatever... shall cease and determine"""	Approximate endpoint for the Stuart impost lineage; later tobacco duty is separately coded.
currants_impost	1	Impost on currants		customs	England/Great Britain	1606		1787	1787-05-10	ended	medium	legislation_customs_excise_act_1787	Section 1	"""from and after the tenth Day of May one thousand seven hundred and eighty-seven... Duties whatever... shall cease and determine"""	Approximate endpoint for the Stuart imposition lineage; later dried-fruit duties are separately coded.
ship_money	1	Ship money		property/exaction	England	1634		1641		ended	high	dowell_v1	Contents, ch. IV	First issue of the writs in October, 1634... The Act against ship money.	
excise_duties	1	Excise duties		excise	England	1643				chart_split_only	medium	parliament_key_dates	Lines 175-176	1643 - Excise duties first imposed; Charged on beer and tobacco	Broad excise-regime umbrella retained for context only; not counted while specific excise heads are counted separately.
commonwealth_soap_excise	1	Commonwealth soap excise		excise/manufactures	England/Commonwealth	1643		1660		ended	medium	dowell_v4	Book IV ch. I	"""included taxes on many manufactured articles--soap, starch, all sorts of glass, gold and silver wire, and all articles of cast iron"""	Commonwealth manufactured-goods excise abandoned at the Restoration.
commonwealth_starch_excise	1	Commonwealth starch excise		excise/manufactures	England/Commonwealth	1643		1660		ended	medium	dowell_v4	Book IV ch. I	"""included taxes on many manufactured articles--soap, starch, all sorts of glass, gold and silver wire, and all articles of cast iron"""	Commonwealth manufactured-goods excise abandoned at the Restoration.
commonwealth_glass_excise	1	Commonwealth glass excise		excise/manufactures	England/Commonwealth	1643		1660		ended	medium	dowell_v4	Book IV ch. I	"""included taxes on many manufactured articles--soap, starch, all sorts of glass, gold and silver wire, and all articles of cast iron"""	Commonwealth manufactured-goods excise abandoned at the Restoration; later glass-duty episodes separately coded.
gold_silver_wire_excise	1	Gold and silver wire excise		excise/manufactures	England/Commonwealth/Great Britain	1643		1826		ended	medium	dowell_v4	Book IV ch. I	"""gilt and silver wire all ranged as contributories to the revenue"""	Commonwealth/early-modern manufactured-goods duty; Dowell notes repeal of the minor tax on gilt and silver wire in 1826.
cast_iron_excise	1	Cast iron excise		excise/manufactures	England/Commonwealth	1643		1660		ended	medium	dowell_v4	Book IV ch. I	"""all articles of cast iron made within the commonwealth"""	Commonwealth manufactured-goods excise abandoned at the Restoration.
poll_tax_general	5	Poll tax		personal tax	England	1641		1641		ended	high	dowell_v3	Book I ch. I	In 1641 another general poll tax was imposed	
commonwealth_monthly_assessment	1	Commonwealth monthly assessments		direct/property tax	England, Wales, Scotland and Ireland	1643		1660		ended	medium	dowell_v2	Book I ch. I	"""they adopted a system of monthly assessments"""	Start year approximate from parliamentary ordinance period; operated during the Commonwealth.
weekly_meal_tax	1	Weekly meal tax		personal/consumption tax	England and Wales	1643		1649		ended	medium	dowell_v2	Book I ch. I	"""was levied by the parliament during six years"""	Dowell gives duration and yield but not exact start month.
poll_tax_general	6	Poll taxes under Charles II		personal tax	England	1660		1685		ended	low	dowell_v3	Book I ch. I	After the Restoration, poll taxes were used on several occasions during the reign of Charles II.	Needs separate episodes.
poll_tax_general	10	Single poll		personal/poll tax	England	1689		1689		ended	high	dowell_v3	Vol III, Book I ch. I, p. 9	"""In 1689, a single poll... produced... 288,310l."""	Added from old_taxes2.tsv review.
poll_tax_general	11	Review of 1689 poll and additional poll		personal/poll tax	England	1690		1690		ended	high	dowell_v3	Vol III, Book I ch. I, p. 9	"""In 1690 a review of the poll of 1689 and an additional poll produced together 23,059l."""	Added from old_taxes2.tsv review.
poll_tax_general	12	Second poll		personal/poll tax	England	1690		1690		ended	high	dowell_v3	Vol III, Book I ch. I, p. 9	"""A second poll for 1690 produced 239,958l."""	Added from old_taxes2.tsv review.
poll_tax_general	7	Quarterly poll tax		personal tax	England	1692		1692		ended	medium	dowell_v3	Book I ch. I	A quarterly poll in 1692 produced 580,000l.	
poll_tax_general	13	Second quarterly poll		personal/poll tax	England	1694		1694		ended	high	dowell_v3	Vol III, Book I ch. I, p. 10	"""In 1694 a second quarterly poll produced 486,321l."""	Added from old_taxes2.tsv review.
poll_tax_general	8	Capitation tax		personal tax	England	1697		1697		ended	high	dowell_v3	Book I ch. I	"""In 1697, 612,912l. was raised"""	Dowell distinguishes this from the single and quarterly polls.
poll_tax_general	9	Quarterly poll tax		personal tax	England	1698		1698		ended	high	dowell_v3	Book I ch. I	"""In 1698 a quarterly poll produced 321,397l."""	Last general poll tax according to Dowell.
hearth_money	1	Hearth-money		household/property	England and Wales	1662		1689		ended	high	legislation_hearth_money_act_1688	Hearth Money Act 1688	"""repealed by the Hearth Money Act 1688... in 1689"""	End year uses calendar-year royal assent/operation, not old-style regnal citation.
land_tax	1	Land tax		land/property	England	1692		1963		ended	high	tna_land_tax_1692_1963	Guide	"""The Land Tax was first imposed in England in 1692. It ran from 1692 to 1963."""	Parliament key-dates page says 1693, but the underlying statute/TNA guide support 1692.
window_tax	1	Window tax		household/property	England	1696		1851		ended	high	parliament_key_dates	Lines 180-181	1696 - Window Tax imposed... It remained in force until 1851	
stamp_duties	1	General stamp duties		stamp duty	England	1694				chart_split_only	medium	dowell_v3	Contents, Part II	FROM THE ORIGINAL STAMP ACT OF 1694 TO THE GENERAL STAMP ACT OF 1815.	Broad stamp-duty umbrella retained for context only; not counted while specific stamp heads are counted separately.
stamp_duty_land_conveyances	1	Stamp duty on land conveyances		land transaction tax	England/Great Britain/United Kingdom	1694		2003	2003-12-01	ended	medium	govuk_sdlt_manual	SDLTM00030	"""SDLT was introduced in Part 4 of the Finance Act 2003"""	Pre-SDLT stamp-duty head on land conveyances; broad start from the original stamp-duty regime, endpoint from SDLT replacement.
stamp_duty_shares_securities	1	Stamp duty on shares and marketable securities		securities transaction tax	England/Great Britain/United Kingdom	1694				active	medium	current_chart_2024_25	current chart	"""Stamp taxes on shares"""	Paper/instrument stamp duty on securities; current chart has a separate Stamp duty on shares line alongside SDRT.
bearer_instrument_duty	1	Bearer Instrument Duty		securities transaction tax	United Kingdom	1963				active	high	govuk_stsm_bearer_instrument_duty	STSM062000	"""Bearer Instrument Duty"""	Article footnote zero-revenue oddity; current head inserted into Stamp Act 1891 by Finance Act 1963, with older bearer-security stamp heads preceding it.
law_proceedings_stamp_duty	1	Law proceedings stamp duty		stamp duty	England/Great Britain	1670		1824		ended	medium	dowell_v3	Book IV ch. I	"""duties had been imposed, in 1670, upon proceedings at law"""	Dowell says the 1670 duties expired in 1680 and later law-proceedings stamp duties were repealed in 1824; retained as one broad lineage pending episode split.
bills_exchange_promissory_notes_duty	1	Bills of exchange and promissory notes stamp duty		stamp duty	Great Britain/United Kingdom	1782		1971	1971-02-01	ended	high	legislation_finance_act_1970	Schedule 7; Dowell vol. III Book IV ch. I	"""Duties abolished as from 1st February 1971"""	Dowell identifies North's 1782 tax on bills of exchange and promissory notes; Finance Act 1970 abolished bill/receipt duties from 1 February 1971.
agreements_stamp_duty	1	Agreements stamp duty		stamp duty	Great Britain/United Kingdom	1783		1971		ended	low	dowell_v3	Book IV ch. I	"""introduced into the list several new heads of duty, viz.--agreements"""	Dowell identifies agreements as a distinct 1783 stamp head. End is provisional: broad non-core agreement stamp duties largely swept away by the late twentieth-century stamp-duty reforms.
receipt_stamp_duty	1	Receipt stamp duty		stamp duty	England/Great Britain/United Kingdom	1694		1971	1971-02-01	ended	high	legislation_finance_act_1970	Schedule 7, para. 2	"""the duty of 2d. specified... under the heading beginning Receipt"""	Broad receipt-stamp head; Finance Act 1970 abolished it from 1 February 1971.
cheque_stamp_duty	1	Cheque stamp duty		stamp duty	United Kingdom	1853		1971	1971-02-01	ended	high	legislation_finance_act_1970	Schedule 7, para. 2	"""Duties abolished as from 1st February 1971"""	Start from Stamp Act 1853 cheque duty; endpoint confirmed by Finance Act 1970.
apprenticeship_indentures_stamp_duty	1	Apprenticeship indentures duty		stamp duty	England and Wales	1710		1811		ended	high	tna_apprenticeship_indentures_duty	Research guide	"""stamp duty was payable on indentures of apprenticeship"""	Duty on apprenticeship indentures/premiums; separate from the modern Apprenticeship Levy.
marriage_birth_burial_duty	1	Marriage, birth and burial duties		personal/event tax	England and Wales	1695		1706		ended	medium	british_history_marriage_duty_1694	6 & 7 William III c.6	"""for granting to His Majesty certaine Rates and Duties upon Marriages Births and Burials"""	War-revenue duty; end year from secondary descriptions of the Act's expiry, still needs final repeal/expiry statute check.
bachelor_widower_duty	1	Bachelor and widower duties		personal/status tax	England and Wales	1695		1706		ended	medium	british_history_marriage_duty_1694	6 & 7 William III c.6	"""Duties upon Marriages Births and Burials Batchelors and Widowers"""	Charged under the same 1695 Act; counted separately because the duty base/status charge differed from event registration duties.
probate_administration_inventory_duty	1	Probate, administration and inventory duties		successions	England	1694		1894		ended	medium	dowell_v3	Book II ch. II	"""in the original Stamp Act... stamp duty... was imposed"""	Start predates Great Britain; end year retained as 1894 consolidation under estate duty; exact transitional treatment needs later legal verification.
legacy_duty	1	Legacy duty		successions	Great Britain	1780		1949	1949-07-30	ended	high	legislation_finance_act_1949	Section 27	"""Legacy duty and succession duty shall not be chargeable"""	Estate duty overlaid these duties from 1894; statutory abolition/non-charge traced to Finance Act 1949.
succession_duty	1	Succession duty		successions	United Kingdom	1853		1949	1949-07-30	ended	high	legislation_finance_act_1949	Section 27	"""Legacy duty and succession duty shall not be chargeable"""	Charged successions to land and settled property; estate duty overlaid from 1894, with statutory abolition/non-charge in 1949.
corporation_duty	1	Corporation duty		corporate/property tax	United Kingdom	1885		1959		ended	medium	tna_inland_revenue_records_c161	Series description	"""Corporation Duty, 1885-1959"""	Duty on corporate and unincorporated bodies; needs Customs and Inland Revenue Act 1885 section-level verification.
estate_duty	1	Estate duty		successions	United Kingdom	1894		1975	1975-03-12	ended	high	tna_estate_duty_records	Series description	"""In 1894, estate duty was imposed"""	End date cross-checked to GOV.UK IHT threshold history, which lists Estate Duty to 12 March 1975.
capital_transfer_tax	1	Capital Transfer Tax		successions/lifetime transfers	United Kingdom	1975	1975-03-13	1986	1986-03-17	ended	high	govuk_iht_thresholds_2026	Threshold history	"""Capital Transfer Tax... from 13 March 1975 to 17 March 1986"""	Renamed/recast as inheritance tax from 18 March 1986.
auction_property_tax	1	Tax on property sold by auction		property transaction	Great Britain	1777		1845		ended	high	dowell_v3	Contents, ch. III	the tax on property sold BY AUCTION. 1777-1845	
fire_insurance_duty	1	Tax on fire insurance		insurance tax	Great Britain	1782		1869		ended	high	dowell_v3	Contents, ch. IV	The Tax on Fire Insurance (1782-1869)	
sea_insurance_duty	1	Tax on sea/marine insurance		insurance tax	Great Britain	1782		1959		ended	medium	legislation_finance_act_1959	Eighth Schedule	"""Policy of Sea Insurance"""	Start moved from 1795 to 1782 on audit/source review; 1795 appears to be a major rate increase, not the introduction. Finance Act 1959 repealed the Stamp Act 1891 head of charge for sea insurance policies.
inhabited_house_duty	1	Inhabited house duty		household/property	Great Britain	1778		1834		ended	high	dowell_v3	Contents, Book III ch. II	Lord North's tax (1778-1834)	
inhabited_house_duty	2	Inhabited house duty		household/property	Great Britain	1851		1924		ended	high	legislation_finance_act_1924	Section 20	"""Repeal of inhabited house duty"""	
carriage_duty	1	Duty on carriages		establishment/luxury	Great Britain	1747		1945	1945-01-01	ended	high	legislation_finance_act_1944	Section 6	"""carriages and hackney carriages... shall cease to be chargeable"""	
plate_chest_duty	1	Household plate chest duty		establishment/luxury	Great Britain	1756		1777		ended	high	dowell_v3	Contents, ch. III	On the household plate chest (1756-1777)	
male_servant_duty	1	Male servants duty		establishment/luxury	Great Britain	1777		1937		ended	high	legislation_finance_act_1937	Section 5	"""in respect of male servants shall cease to be chargeable"""	
female_servant_duty	1	Female servants duty		establishment/luxury	Great Britain	1785		1792		ended	high	dowell_v3	Contents, ch. III	On establishments of female servants (1785-1792)	
horse_duty	1	Horse duty		establishment/luxury	Great Britain	1784		1874		ended	high	dowell_v3	Contents, ch. III	On establishments of horses (1784-1874)	
racehorse_duty	1	Racehorse duty		establishment/luxury	Great Britain	1784		1874		ended	high	dowell_v3	Contents, ch. III	On establishments of racehorses (1784-1874)	
sporting_licence	1	Sporting licences		licence duty	Great Britain	1784		2011		ended	medium	legislation_wane_scotland_2011	Schedule, Part 2	"""Game Licences Act 1860... The whole Act"""	England/Wales game licence law was repealed by the 2007 Regulatory Reform (Game) Order; Scotland repeal in 2011 marks final GB endpoint.
gun_licence	1	Gun licences		licence duty	Great Britain	1870		1966		ended	high	legislation_local_government_act_1966	Schedule 3, Part I	"""The Gun Licence Act 1870"""	Listed among enactments ceasing to have effect.
hair_powder_duty	1	Hair-powder duty		establishment/luxury	Great Britain	1795		1869		ended	high	dowell_v3	Contents, ch. III	On the use of hair-powder (1795-1869)	
dog_licence	1	Dog licence duty		licence duty	Great Britain	1796		1988	1988-05-24	ended	high	legislation_local_government_act_1988	Schedule 7, Part IV	"""Dog Licences Act 1959. The whole Act."""	Repeals had effect two months after Royal Assent on 24 March 1988.
clock_watch_duty	1	Clock and watch duty		establishment/luxury	Great Britain	1797		1798		ended	high	dowell_v3	Contents, ch. III	In respect of clocks and watches (1797-1798)	
armorial_ensigns_duty	1	Armorial ensigns duty		licence duty	Great Britain	1798		1945	1945-01-01	ended	high	legislation_finance_act_1944	Section 6	"""armorial bearings... shall cease to be chargeable"""	
shopkeeper_tax	1	Tax on shopkeepers		licence/profession	Great Britain	1785		1789		ended	high	dowell_v3	Book I ch. II	"""in 1785, when Pitt revived the project of a shop tax"""	Repealed from 5 April 1789 according to Dowell.
attorney_solicitor_duty	1	Attorneys, solicitors, proctors, conveyancers and special pleaders tax		licence/profession	Great Britain/United Kingdom	1785		1949		ended	medium	hansard_solicitors_public_notaries_1949	Lords second reading	"""The duty was originally £5 in the year 1785."""	Hansard says the duty was reduced in Finance Act 1947 and abolished by the 1949 Bill; use 1949 as best endpoint.
note_banker_duty	1	Note bankers tax		licence/profession	Great Britain/United Kingdom	1808		1972	1972-06-25	ended	medium	legislation_finance_act_1972	Schedule 28, Part XI	"""In Schedule 1 the heading " BANK NOTE "."""	Annual licence/composition duty for note-issuing bankers; endpoint uses Finance Act 1972 repeal of Stamp Act 1891 bank-note provisions.
auctioneer_duty	1	Auctioneers tax		licence/profession	Great Britain	1777		1949	1949-07-05	ended	high	legislation_finance_act_1949	Section 14	"""Abolition of excise duties on licences for appraisers, auctioneers, house agents and plate dealers"""	Dowell says 1777 duty was small; revenue duty of 5l imposed in 1825.
appraiser_duty	1	Appraisers tax		licence/profession	Great Britain	1806		1949	1949-07-05	ended	high	legislation_finance_act_1949	Section 14	"""Abolition of excise duties on licences for appraisers, auctioneers, house agents and plate dealers"""	
furnished_house_agent_duty	1	Furnished-house agents tax		licence/profession	Great Britain	1861		1949	1949-07-05	ended	high	legislation_finance_act_1949	Section 14	"""Abolition of excise duties on licences for appraisers, auctioneers, house agents and plate dealers"""	
pawnbroker_duty	1	Pawnbrokers tax		licence/profession	Great Britain	1785		1985	1985-05-19	ended	medium	legislation_consumer_credit_act_1974	Schedule 5	"""Pawnbrokers Act 1872. The whole Act."""	Finance Act 1949 transferred duties to local authorities; Consumer Credit Act 1974 repealed the Pawnbrokers Act, with pawnbroking regime commenced in 1985.
hawker_pedlar_duty	1	Hawkers and pedlars tax		licence/profession	England	1697		1966		ended	high	legislation_local_government_act_1966	Schedule 3, Part I	"""The Hawkers Act 1888"""	Start predates Great Britain; foot-hawker element repealed in 1870; wider Hawkers Act listed among enactments ceasing to have effect in 1966.
hackney_carriage_duty	1	Hackney coach, carriage and cab duty		licence/profession	England	1694		1870		ended	high	dowell_v3	Book I ch. III	"""1694-1870"""	Start predates Great Britain; replaces broad locomotion-provider placeholder with the dated metropolitan hackney-carriage series.
stage_coach_duty	1	Stage-coach and caravan duty		transport/locomotion tax	England	1694		1695		ended	medium	dowell_v3	Book I ch. III, locomotion section	"""the short-lived tax imposed, in 1694, upon the drivers of stage-coaches"""	First short-lived stage-coach duty; later stage-coach proprietors and mileage duty coded separately.
stage_coach_duty	2	Stage-coach and caravan duty		transport/locomotion tax	Great Britain	1779		1870	1870-01-01	ended	high	dowell_v3	Book I ch. III, locomotion section	"""The Tax on Persons keeping Stage-Coaches and Caravans. 1694-5, 1779-1869."""	Dowell says Lowe repealed the duty from 1 January 1870.
post_horse_duty	1	Post-horse and horse-hire duty		transport/locomotion tax	Great Britain	1779		1870	1870-01-01	ended	high	dowell_v3	Book I ch. III, locomotion section	"""The tax on persons keeping post-horses or keeping horses to let for hire. 1779-1869."""	Dowell says Lowe repealed the tax from 1 January 1870.
waggon_cart_duty	1	Waggons, wains and carts duty		transport/locomotion tax	Great Britain	1783		1792		ended	medium	dowell_v3	Book III ch. III, carriage section	"""a small tax on waggons and carts first imposed in 1783"""	Dowell says the Coalition Ministry's waggon/cart tax was repealed in 1792.
coachmaker_licence_duty	1	Coachmakers licence duty		licence/profession	Great Britain	1785		1869		ended	medium	dowell_v2	Book II ch. VIII	"""for coachmakers, with a tax of 20s. for every four-wheeled and 10s. for every two-wheeled carriage made by them"""	Dowell identifies Pitt's 1785 coachmaker licence/manufacture tax; later endpoint provisionally aligned to the 1869-70 locomotion/establishment duty repeal pass.
cotton_stuffs_duty_1784	1	Cotton stuffs duty		manufacture duty	Great Britain	1784		1785		ended	high	dowell_v4	Vol IV, Book IV ch. I, p. 291	"""A tax on cotton stuffs, bleached or dyed, which was repealed in the next year."""	Added from old_taxes2.tsv review; separate short-lived Pitt tax.
salt_duty	1	Salt excise		food/commodity	England and Wales	1643		1660		ended	low	dowell_v4	Book I ch. I	Under the system of taxation... introduced... by the parliament in the civil war, salt... was charged	Exact start/end to verify.
salt_duty	2	Salt duty		food/commodity	England and Wales	1694		1730		ended	medium	dowell_v4	Book I ch. I	in 1694... a duty was again imposed... Repealed by Walpole... in 1730	
salt_duty	3	Salt duty revived		food/commodity	Great Britain	1732		1825		ended	medium	dowell_v4	Book I ch. I	revived... only two years after the repeal	End from Dowell narrative; verify exact expiry.
corn_duty	1	Imported corn/wheat duties		food/customs	Great Britain	1791		1869		ended	medium	dowell_v4	Book I ch. II	"""In 1791 the corn law was changed by Pitt"""	Broad imported-corn duty row. Dowell says the 1846 Act reduced duties and fixed a 1s registration-fee duty from 1849, then Lowe repealed the tax in 1869.
cattle_meat_duty	1	Imported cattle, sheep, pigs and meat duties		food/customs	Great Britain	1842		1846		ended	medium	dowell_v4	Book I ch. III	"""The practically prohibitory duties reduced, by Peel, in 1842"""	Start is the clear revenue-duty reduction point in Dowell; earlier prohibitions/practically prohibitory duties need statute-level episode work. Hams survived to 1853 but are not split here.
butter_cheese_duty	1	Butter and cheese duties		food/customs	Great Britain	1787		1860		ended	low	dowell_v4	Book I ch. IV	"""In Pitt's tariff of 1787, the duty on butter was 2s. 6d. the cwt."""	Known from Dowell to be in Pitt's 1787 tariff for butter; cheese is known to be yielding revenue by 1815. Repealed in 1860.
egg_duty	1	Imported eggs duty		food/customs	Great Britain	1815		1860		ended	low	dowell_v4	Book I ch. IV	"""The repeal of the duty on eggs"""	Start is a best-guess "known extant by" date, aligned with other food duties yielding revenue by 1815; repeal is from Gladstone's 1860 tariff revision.
sugar_duty	1	Sugar duty		food/commodity	England/Great Britain	1685		1693		ended	medium	dowell_v4	Book I ch. V	"""a special tax on sugar, 1685. A tax imposed for eight years, determines in 1693"""	First special sugar-tax episode identified by Dowell.
sugar_duty	2	Sugar duty		food/commodity	Great Britain	1709		1874		ended	medium	dowell_v4	Book I ch. V	"""Sugar further taxed in the war of the Spanish Succession"""	Later sugar-duty lineage after the 1685-93 special tax; Dowell says Northcote repealed the tax in 1874.
pepper_duty	1	Pepper duty		food/customs	Great Britain	1709		1866		ended	medium	dowell_v4	Book I ch. VI	"""pepper was charged in 1709... with an additional 1s. 6d. the pound"""	Dowell says pepper was already heavily taxed before 1709; this start captures the first specific date found in the sidecar.
raisin_duty	1	Raisins duty		food/customs	England/Great Britain	1660		1885		ended	low	dowell_v4	Book I ch. VII	"""After the Restoration other principles prevailed, but raisins continued to be subjected to heavy taxation"""	Best-guess endpoint currently set at Dowell's source horizon; post-1885 repeal not yet traced.
currant_duty	1	Currants duty		food/customs	Great Britain	1787		1885		ended	low	dowell_v4	Book I ch. VIII	"""In Pitt's tariff of 1787, the duty was imposed at the rate of 1l. 3s. 4d. the cwt."""	Best-guess endpoint currently set at Dowell's source horizon; post-1885 repeal not yet traced.
orange_lemon_duty	1	Oranges and lemons duty		food/customs	Great Britain	1815		1860		ended	low	dowell_v4	Book I ch. IX	"""in 1815... the yield of the duties... nearly reached 45,000l."""	Start is "known extant by" from Dowell; actual enactment date not yet coded.
fig_plum_prune_duty	1	Figs, plums and prunes duty		food/customs	Great Britain	1860		1885		ended	low	dowell_v4	Book I ch. VII	"""The duty continues to be 7s. the cwt.--the rate payable also for currants, figs, fig-cake, French plums, and other dried or preserved plums and prunes."""	Start is "known extant by" from the 7s dried-fruit rate described after the 1860 reduction; best-guess endpoint currently set at Dowell's source horizon.
